id,label
0,1
1,1
2,1
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,0
20,1
21,0
22,1
23,1
24,0
25,1
26,1
27,0
28,1
29,1
30,1
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,1
39,0
40,1
41,1
42,1
43,1
44,0
45,1
46,0
47,1
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,1
57,0
58,1
59,0
60,0
61,1
62,0
63,0
64,1
65,1
66,1
67,0
68,1
69,1
70,1
71,1
72,1
73,1
74,0
75,1
76,1
77,1
78,1
79,0
80,0
81,0
82,1
83,0
84,1
85,1
86,1
87,1
88,0
89,0
90,0
91,0
92,0
93,1
94,1
95,0
96,1
97,1
98,0
99,0
100,0
101,1
102,0
103,0
104,1
105,1
106,0
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,0
115,0
116,0
117,1
118,1
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,1
127,0
128,0
129,1
130,1
131,1
132,0
133,0
134,0
135,0
136,1
137,0
138,0
139,0
140,0
141,1
142,1
143,0
144,0
145,1
146,1
147,0
148,0
149,0
150,1
151,0
152,0
153,0
154,1
155,0
156,0
157,1
158,1
159,1
160,0
161,0
162,0
163,1
164,0
165,0
166,1
167,0
168,0
169,0
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,0
202,1
203,1
204,0
205,0
206,1
207,0
208,0
209,0
210,1
211,1
212,0
213,1
214,1
215,1
216,1
217,0
218,1
219,1
220,0
221,1
222,1
223,0
224,1
225,1
226,1
227,0
228,1
229,0
230,1
231,0
232,0
233,0
234,1
235,1
236,0
237,1
238,0
239,1
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,0
248,0
249,1
250,1
251,0
252,1
253,0
254,0
255,0
256,1
257,1
258,0
259,0
260,0
261,1
262,0
263,0
264,1
265,0
266,0
267,0
268,1
269,1
270,1
271,0
272,1
273,0
274,0
275,1
276,1
277,0
278,0
279,1
280,1
281,1
282,0
283,1
284,0
285,1
286,0
287,0
288,1
289,0
290,0
291,1
292,1
293,0
294,0
295,1
296,1
297,1
298,1
299,0
300,0
301,0
302,0
303,0
304,0
305,1
306,1
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,1
315,0
316,1
317,0
318,1
319,0
320,0
321,1
322,0
323,0
324,1
325,1
326,1
327,1
328,0
329,0
330,1
331,1
332,1
333,0
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,1
348,0
349,1
350,0
351,1
352,1
353,1
354,1
355,1
356,0
357,1
358,0
359,0
360,1
361,0
362,1
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,0
374,1
375,0
376,1
377,0
378,1
379,1
380,1
381,0
382,1
383,1
384,1
385,0
386,0
387,0
388,1
389,0
390,0
391,1
392,0
393,1
394,1
395,0
396,1
397,0
398,1
399,1
400,1
401,0
402,1
403,0
404,1
405,1
406,0
407,0
408,0
409,0
410,1
411,1
412,1
413,0
414,1
415,0
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,0
426,1
427,0
428,1
429,1
430,1
431,0
432,1
433,1
434,1
435,0
436,0
437,1
438,1
439,0
440,0
441,0
442,1
443,0
444,0
445,1
446,0
447,0
448,0
449,1
450,0
451,1
452,1
453,0
454,0
455,0
456,1
457,0
458,1
459,1
460,0
461,0
462,1
463,0
464,0
465,1
466,1
467,0
468,1
469,1
470,0
471,1
472,1
473,1
474,1
475,0
476,0
477,0
478,1
479,1
480,1
481,1
482,1
483,0
484,1
485,1
486,0
487,0
488,1
489,1
490,1
491,0
492,0
493,0
494,1
495,1
496,0
497,1
498,1
499,0
500,1
501,0
502,1
503,0
504,0
505,0
506,1
507,1
508,1
509,1
510,1
511,0
512,1
513,0
514,1
515,1
516,1
517,1
518,0
519,0
520,1
521,0
522,1
523,0
524,0
525,0
526,1
527,1
528,0
529,0
530,1
531,0
532,0
533,1
534,0
535,1
536,0
537,0
538,0
539,1
540,0
541,1
542,0
543,0
544,1
545,1
546,1
547,1
548,0
549,0
550,0
551,1
552,0
553,0
554,1
555,0
556,1
557,1
558,1
559,1
560,0
561,0
562,0
563,0
564,1
565,0
566,0
567,1
568,1
569,0
570,1
571,0
572,0
573,1
574,0
575,1
576,0
577,0
578,0
579,0
580,1
581,1
582,0
583,0
584,1
585,0
586,0
587,0
588,0
589,1
590,1
591,0
592,1
593,1
594,1
595,0
596,1
597,0
598,0
599,0
600,1
601,0
602,0
603,0
604,0
605,0
606,1
607,1
608,0
609,1
610,0
611,1
612,0
613,0
614,0
615,1
616,1
617,0
618,0
619,1
620,0
621,0
622,0
623,0
624,0
625,1
626,0
627,0
628,1
629,1
630,1
631,1
632,1
633,0
634,1
635,1
636,1
637,0
638,0
639,0
640,1
641,0
642,1
643,1
644,0
645,0
646,0
647,0
648,0
649,1
650,1
651,1
652,0
653,1
654,1
655,1
656,1
657,1
658,0
659,0
660,1
661,0
662,0
663,0
664,0
665,0
666,1
667,1
668,1
669,1
670,0
671,0
672,0
673,0
674,1
675,1
676,0
677,1
678,1
679,0
680,1
681,0
682,0
683,1
684,1
685,1
686,1
687,1
688,0
689,0
690,1
691,0
692,1
693,1
694,1
695,0
696,0
697,0
698,0
699,1
700,0
701,0
702,0
703,0
704,1
705,1
706,1
707,1
708,1
709,1
710,0
711,1
712,1
713,0
714,1
715,1
716,0
717,1
718,1
719,0
720,0
721,0
722,1
723,1
724,1
725,0
726,1
727,0
728,0
729,1
730,1
731,1
732,0
733,0
734,1
735,1
736,0
737,1
738,1
739,0
740,0
741,1
742,1
743,0
744,1
745,1
746,1
747,0
748,0
749,1
750,0
751,1
752,0
753,0
754,0
755,0
756,1
757,0
758,0
759,1
760,1
761,0
762,1
763,0
764,1
765,1
766,1
767,1
768,1
769,1
770,0
771,0
772,1
773,0
774,0
775,0
776,1
777,0
778,1
779,1
780,1
781,0
782,1
783,1
784,0
785,1
786,0
787,0
788,1
789,1
790,1
791,1
792,1
793,1
794,0
795,1
796,1
797,1
798,0
799,1
800,0
801,0
802,0
803,0
804,1
805,1
806,1
807,1
808,1
809,1
810,0
811,1
812,0
